CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS;QTD_REGISTROS_ENEM;QTD_CANDIDATOS_ENEM;QTD_ESCOLAS_ENEM_TOTAL;QTD_ESCOLAS_ENEM_IDENTIFICADAS_CENSO;QTD_ESCOLAS_ENEM_NAO_VINCULADAS_CENSO;QTD_PARTICIPANTES_CN;QTD_ESCOLAS_COM_NOTA_CN;MEDIA_CN;PCT_PRESENCA_CN;QTD_PARTICIPANTES_CH;QTD_ESCOLAS_COM_NOTA_CH;MEDIA_CH;PCT_PRESENCA_CH;QTD_PARTICIPANTES_LC;QTD_ESCOLAS_COM_NOTA_LC;MEDIA_LC;PCT_PRESENCA_LC;QTD_PARTICIPANTES_MT;QTD_ESCOLAS_COM_NOTA_MT;MEDIA_MT;PCT_PRESENCA_MT;QTD_PRESENTES_REDACAO;QTD_ESCOLAS_COM_NOTA_REDACAO;MEDIA_REDACAO_GERAL;QTD_REDACOES_SEM_PROBLEMAS;MEDIA_REDACAO_SEM_PROBLEMAS;PCT_PRESENCA_REDACAO;PCT_REDACOES_SEM_PROBLEMAS;PCT_ESCOLAS_ENSINO_MEDIO_IDENTIFICADAS_NO_ENEM;PCT_ESCOLAS_ENEM_NAO_VINCULADAS_CENSO
2101251;Bacabeira;26;26;100.0;10;16;0;3;23;3;11.54;96.15;100.0;0.0;100.0;38.46;7.69;7.69;23.08;46.15;96.15;3.85;76.92;76.92;61.54;42.31;61.54;11.54;0.0;15.38;25.0;80.0;53;7;3;282;258;23;91.49;8.16;205;205;3;3;0;147;3;456.56;71.71;153;3;466.42;74.63;153;3;481.85;74.63;147;3;442.3;71.71;153;3;501.83;127;604.57;74.63;83.01;100.0;0.0
2101301;Bacuri;32;32;100.0;11;21;0;3;29;3;9.38;93.75;100.0;0.0;40.62;28.12;0.0;0.0;12.5;6.25;100.0;46.88;71.88;100.0;31.25;6.25;90.62;0.0;0.0;9.38;32.0;100.0;18;17;0;172;12;34;6.98;19.77;127;127;3;3;0;95;3;427.3;74.8;98;3;444.37;77.17;98;3;454.14;77.17;95;3;418.92;74.8;98;3;403.67;75;527.47;77.17;76.53;100.0;0.0
2101350;Bacurituba;18;18;100.0;5;13;0;1;17;1;5.56;83.33;100.0;11.11;22.22;16.67;0.0;16.67;11.11;5.56;94.44;44.44;55.56;61.11;61.11;11.11;77.78;0.0;0.0;16.67;17.0;64.71;40;15;1;62;22;23;35.48;37.1;73;73;1;1;0;55;1;426.42;75.34;55;1;438.64;75.34;55;1;455.27;75.34;55;1;399.94;75.34;55;1;449.09;48;514.58;75.34;87.27;100.0;0.0
2101400;Balsas;69;69;100.0;42;27;0;9;60;9;13.04;98.55;100.0;7.25;72.46;49.28;7.25;14.49;23.19;18.84;97.1;43.48;68.12;59.42;53.62;49.28;60.87;2.9;0.0;34.78;67.0;61.19;208;49;13;548;367;219;66.97;39.96;753;753;9;9;0;546;9;454.02;72.51;584;9;463.03;77.56;584;9;490.03;77.56;546;9;447.67;72.51;584;9;536.47;530;591.13;77.56;90.75;100.0;0.0
2101608;Barra do Corda;186;186;100.0;34;152;1;65;120;26;13.98;72.58;92.47;4.3;18.82;26.88;3.76;15.59;20.97;17.2;56.99;24.19;34.41;22.58;29.03;14.52;30.11;4.3;0.0;59.68;106.0;39.62;411;74;2;846;243;132;28.72;15.6;822;822;18;12;6;600;15;467.51;72.99;638;15;477.61;77.62;638;15;494.74;77.62;600;15;470.9;72.99;638;15;549.84;557;629.8;77.62;87.3;46.15;33.33
2101707;Barreirinhas;139;139;100.0;29;110;1;5;133;6;4.32;99.28;97.84;10.79;32.37;33.09;2.16;3.6;4.32;10.07;92.81;6.47;61.15;89.93;28.06;7.91;44.6;4.32;0.0;35.97;129.0;96.9;129;71;0;560;288;31;51.43;5.54;533;533;4;4;0;344;4;459.34;64.54;369;4;456.25;69.23;369;4;478.17;69.23;344;4;435.83;64.54;369;4;474.47;307;570.29;69.23;83.2;66.67;0.0
2101509;Barão de Grajaú;26;26;100.0;10;16;0;3;23;3;11.54;100.0;100.0;0.0;38.46;34.62;3.85;7.69;15.38;30.77;96.15;7.69;65.38;92.31;57.69;15.38;65.38;0.0;0.0;26.92;25.0;96.0;11;26;0;127;97;9;76.38;7.09;156;156;3;3;0;110;3;447.21;70.51;115;3;456.35;73.72;115;3;468.76;73.72;110;3;422.09;70.51;115;3;476.35;98;558.98;73.72;85.22;100.0;0.0
2101772;Bela Vista do Maranhão;20;20;100.0;8;12;0;1;19;1;5.0;90.0;100.0;0.0;60.0;10.0;0.0;5.0;0.0;15.0;95.0;10.0;45.0;85.0;25.0;25.0;65.0;0.0;0.0;35.0;19.0;89.47;27;3;0;92;84;21;91.3;22.83;44;44;1;1;0;29;1;434.63;65.91;27;1;457.32;61.36;27;1;499.0;61.36;29;1;437.88;65.91;27;1;502.22;25;542.4;61.36;92.59;100.0;0.0
2101731;Belágua;44;44;100.0;9;35;0;3;41;3;6.82;88.64;100.0;0.0;20.45;13.64;0.0;4.55;2.27;6.82;50.0;4.55;11.36;6.82;22.73;2.27;75.0;0.0;0.0;25.0;22.0;13.64;26;3;0;221;55;7;24.89;3.17;115;115;3;2;1;73;3;435.95;63.48;79;3;436.46;68.7;79;3;450.49;68.7;73;3;411.39;63.48;79;3;540.25;71;601.13;68.7;89.87;66.67;33.33
2101806;Benedito Leite;11;11;100.0;4;7;0;2;9;2;18.18;100.0;100.0;9.09;63.64;18.18;9.09;18.18;0.0;0.0;81.82;18.18;27.27;72.73;18.18;0.0;27.27;0.0;0.0;54.55;9.0;88.89;9;6;0;43;7;0;16.28;0.0;30;30;2;2;0;21;2;445.48;70.0;21;2;450.73;70.0;21;2;464.82;70.0;21;2;414.27;70.0;21;2;522.86;17;645.88;70.0;80.95;100.0;0.0
2101905;Bequimão;27;27;100.0;8;19;0;3;24;2;7.41;96.3;100.0;0.0;29.63;37.04;0.0;3.7;7.41;3.7;92.59;55.56;81.48;81.48;29.63;7.41;85.19;7.41;0.0;11.11;25.0;88.0;16;15;35;153;8;19;5.23;12.42;121;121;2;2;0;76;2;434.31;62.81;85;2;429.32;70.25;85;2;446.82;70.25;76;2;402.62;62.81;85;2;381.41;65;498.77;70.25;76.47;100.0;0.0
2101939;Bernardo do Mearim;15;15;100.0;4;11;0;2;13;2;13.33;100.0;100.0;0.0;60.0;20.0;0.0;6.67;40.0;13.33;73.33;6.67;40.0;60.0;13.33;6.67;13.33;6.67;6.67;40.0;11.0;81.82;24;1;0;69;59;22;85.51;31.88;74;74;2;2;0;27;1;449.75;36.49;29;1;447.06;39.19;29;1;483.59;39.19;27;1;447.49;36.49;29;1;453.1;24;547.5;39.19;82.76;100.0;0.0
2101970;Boa Vista do Gurupi;15;15;100.0;7;8;0;1;14;1;6.67;100.0;100.0;0.0;53.33;46.67;0.0;6.67;26.67;40.0;93.33;6.67;93.33;93.33;40.0;0.0;93.33;13.33;0.0;6.67;14.0;100.0;9;12;0;74;45;16;60.81;21.62;80;80;1;1;0;58;1;446.96;72.5;58;1;464.79;72.5;58;1;472.71;72.5;58;1;440.85;72.5;58;1;457.59;50;530.8;72.5;86.21;100.0;0.0
2102002;Bom Jardim;104;104;100.0;12;92;0;12;92;6;5.77;84.62;99.04;0.0;30.77;13.46;0.0;2.88;3.85;2.88;82.69;22.12;66.35;77.88;23.08;19.23;43.27;1.92;0.0;54.81;86.0;94.19;24;16;40;379;158;66;41.69;17.41;281;281;6;4;2;191;6;441.0;67.97;205;6;450.61;72.95;205;6;459.89;72.95;191;6;425.6;67.97;205;6;423.22;166;522.65;72.95;80.98;66.67;33.33
