CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS
2100956;Arame;101;101;100.0;12;89;0;33;68;6;5.94;84.16;98.02;0.99;14.85;6.93;0.0;3.96;2.97;1.98;44.55;3.96;18.81;13.86;3.96;0.99;13.86;0.99;0.0;82.18;45.0;31.11;47;7;0;259;85;7;32.82;2.7
2101004;Arari;56;56;100.0;16;40;0;3;53;3;5.36;100.0;98.21;1.79;32.14;26.79;1.79;10.71;12.5;3.57;87.5;39.29;80.36;83.93;35.71;0.0;25.0;1.79;0.0;67.86;49.0;95.92;44;12;2;256;209;40;81.64;15.62
2101103;Axixá;22;22;100.0;3;19;0;2;20;2;9.09;100.0;100.0;9.09;81.82;22.73;13.64;18.18;4.55;9.09;100.0;27.27;13.64;95.45;36.36;27.27;54.55;0.0;0.0;40.91;22.0;95.45;77;11;1;166;69;19;41.57;11.45
2101202;Bacabal;113;113;100.0;52;61;1;11;101;12;10.62;97.35;100.0;7.96;59.29;28.32;5.31;12.39;18.58;15.93;97.35;17.7;87.61;97.35;56.64;29.2;69.03;3.54;0.88;0.88;110.0;100.0;204;89;73;639;458;397;71.67;62.13
2101251;Bacabeira;26;26;100.0;10;16;0;3;23;3;11.54;96.15;100.0;0.0;100.0;38.46;7.69;7.69;23.08;46.15;96.15;3.85;76.92;76.92;61.54;42.31;61.54;11.54;0.0;15.38;25.0;80.0;53;7;3;282;258;23;91.49;8.16
2101301;Bacuri;32;32;100.0;11;21;0;3;29;3;9.38;93.75;100.0;0.0;40.62;28.12;0.0;0.0;12.5;6.25;100.0;46.88;71.88;100.0;31.25;6.25;90.62;0.0;0.0;9.38;32.0;100.0;18;17;0;172;12;34;6.98;19.77
2101350;Bacurituba;18;18;100.0;5;13;0;1;17;1;5.56;83.33;100.0;11.11;22.22;16.67;0.0;16.67;11.11;5.56;94.44;44.44;55.56;61.11;61.11;11.11;77.78;0.0;0.0;16.67;17.0;64.71;40;15;1;62;22;23;35.48;37.1
2101400;Balsas;69;69;100.0;42;27;0;9;60;9;13.04;98.55;100.0;7.25;72.46;49.28;7.25;14.49;23.19;18.84;97.1;43.48;68.12;59.42;53.62;49.28;60.87;2.9;0.0;34.78;67.0;61.19;208;49;13;548;367;219;66.97;39.96
2101509;Barão de Grajaú;26;26;100.0;10;16;0;3;23;3;11.54;100.0;100.0;0.0;38.46;34.62;3.85;7.69;15.38;30.77;96.15;7.69;65.38;92.31;57.69;15.38;65.38;0.0;0.0;26.92;25.0;96.0;11;26;0;127;97;9;76.38;7.09
2101608;Barra do Corda;186;186;100.0;34;152;1;65;120;26;13.98;72.58;92.47;4.3;18.82;26.88;3.76;15.59;20.97;17.2;56.99;24.19;34.41;22.58;29.03;14.52;30.11;4.3;0.0;59.68;106.0;39.62;411;74;2;846;243;132;28.72;15.6
